GEO_ID,NAME,F1519,F2024,F2529,F3034,F3539,F4044,F4549,F5054,F5559,F6064,F65up,F_medianage,Pop_total,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A6569,A7074,A7579,A8084,A85up,A65up,Pop_medianage,Pop_male,M0004,M0509,M1014,M1519,M2024,M2529,M3034,M3539,M4044,M4549,M5054,M5559,M6064,M65up,M_medianage,Pop_female,F0004,F0509,F1014
36001,Albany County,7.3,8.9,7,5.7,6.3,6.3,7.1,7.2,7.4,5.5,16,39.6,303833,5,5.1,5.9,8,9.4,6.8,5.9,6.1,6.6,7.1,7.3,7,5.8,4,2.9,2.4,2.3,2.4,13.9,38,147683,5.4,5.4,6,8.7,9.9,6.6,6.1,5.9,6.8,7.2,7.4,6.6,6.2,11.7,36.8,156150,4.6,4.8,5.9
36005,Bronx County,7.6,7.7,7.6,7.2,6.6,7.1,7.2,6.5,5.5,4.6,12.3,34.9,1386657,7.4,7,7.2,8.3,8.2,7.6,7.1,6.4,7.1,7,6.4,5.2,4.5,3.2,2.6,1.8,1.5,1.5,10.6,32.8,649779,8.1,7.7,7.8,9,8.8,7.6,6.9,6.2,7.1,6.9,6.2,4.8,4.3,8.6,30.6,736878,6.9,6.4,6.8
36007,Broome County,8.2,8.4,5.6,4.9,4.6,6.2,7.4,8,6.5,6.3,18.9,43,200272,4.9,6,5.4,8.3,8.9,5.9,5.1,5.3,5.6,7.4,8.1,6.8,5.9,4.4,3.4,3.3,2.5,2.8,16.4,40.1,98356,5.2,6.9,5.6,8.4,9.4,6.2,5.3,6,5.1,7.4,8.1,7.2,5.4,13.8,37,101916,4.7,5.1,5.2
36009,Cattaraugus County,6.6,6.2,5.1,5.4,5.8,6.6,7.4,8.2,7.5,6.1,17.1,41.9,80229,5.8,5.8,6.8,7.7,6.5,5.1,5.1,4.9,7.2,7.5,8.3,7.8,6.2,4.5,3.5,3.8,1.5,2,15.3,41.5,40206,6.1,6,6.8,8.7,6.7,5.1,4.8,3.9,7.7,7.6,8.5,8.2,6.3,13.6,41.1,40023,5.6,5.6,6.8
36011,Cayuga County,7.1,5.2,6.1,5,5.6,6.7,8.3,8.6,7.7,5.6,17.4,42.9,79978,5,6,6.3,6.9,5.9,5.9,5.4,5.7,7.5,8.4,8.5,7.1,6.1,3.9,3.8,2.9,2.2,2.4,15.2,41.6,41066,5.1,5.4,7.3,6.8,6.5,5.8,5.9,5.8,8.3,8.6,8.4,6.5,6.5,13.1,41,38912,4.8,6.5,5.3
36013,Chautauqua County,7.8,6.7,5.2,5.1,5.4,5.7,7.2,7.8,7.6,5.9,18.3,42.4,134768,5.4,5.9,6.4,8.1,7.1,5.3,4.8,5.8,5.6,7.5,7.7,7,6.6,4.3,4.1,2.7,2.6,3,16.7,41.1,66583,5.2,6,7,8.4,7.6,5.4,4.6,6.3,5.5,7.7,7.6,6.4,7.4,15.1,39.6,68185,5.6,5.9,5.9
36015,Chemung County,6,7,5.4,5.3,4.5,6.8,7.3,8.9,6.3,7.3,17.8,43.4,88824,6,6.1,6.6,5.9,6.6,6,6,6.1,6,7.4,8.3,6.5,7.1,4.1,3.4,2.3,3,2.5,15.4,40.5,44736,6.6,6.8,6.6,5.8,6.1,6.7,6.7,7.6,5.3,7.5,7.8,6.6,7,13,38.2,44088,5.4,5.5,6.6
36019,Clinton County,7.9,8.5,5.4,6,6.7,5.9,8.5,7.7,5,7.5,15.2,39.8,82115,5,5.4,5.3,7.9,8.8,6.3,6.2,5.9,6.6,9,7.8,6.4,5.7,4.1,3.4,2.5,2.3,1.4,13.7,39.3,41644,4.7,5.4,5.8,7.9,9.2,7.1,6.4,5,7.2,9.5,7.9,7.8,4,12.2,39,40471,5.3,5.5,4.7
36027,Dutchess County,7.4,7.1,5.1,4.7,7.1,6.6,8.5,8.2,6.8,5.8,15,40.7,297577,5.1,6.6,6.1,8,7.5,5.2,5,7.3,6.3,8.6,8.3,7.1,5.5,4,3.1,2.7,1.9,1.7,13.4,39.6,148353,5.3,6.6,6.2,8.6,7.8,5.2,5.4,7.5,6,8.7,8.3,7.5,5.2,11.8,38.7,149224,5,6.6,6
36029,Erie County,6.9,7.1,6.1,5.3,5.5,6.6,7.4,8,6.7,6.2,18.1,42.1,918652,5.3,5.8,6.4,7.2,7.5,6.3,5.4,5.5,6.7,7.5,8,6.9,6,4.1,3.5,2.8,2.7,2.5,15.7,40.5,443364,5.7,5.9,6.9,7.5,7.9,6.6,5.5,5.5,6.8,7.6,8,7.1,5.7,13.2,38.7,475288,5,5.6,5.8
