"ST_CASE","YEAR","MONTH","DAY_WEEK","HOUR","ST_CO_FIPS","CITY","LATITUDE","LONGITUD","VE_TOTAL","PERSONS","PERMVIT","PERNOTMVIT","FATALS","FUNC_SYS","TYP_INT","REL_ROAD","MAN_COLL","LGT_COND","WEATHER"
"360001",2015,"Jan","Thu",8,"36005","4170",40.83631111,-73.86991111,2,5,"5","0",1,"Local road","4-way intersection","On road","Front collision","Daylight","Clear"
"360002",2015,"Jan","Fri",9,"36011","5961",43.25097778,-76.67238333,2,3,"3","0",1,"Main arterial","Not intersection","On road","Angled collision","Daylight","Precipitation"
"360003",2015,"Jan","Sat",16,"36037","4686",42.91154444,-77.97596389,1,3,"3","0",1,"Local road","Not intersection","Beside road","Non-vehicle collision","Dark","Precipitation"
"360004",2015,"Jan","Sat",11,"36089","0880",44.60562222,-75.13035,1,1,"1","1",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360005",2015,"Jan","Sun",11,"36119","6820",40.92804167,-73.84016389,1,1,"1","0",1,"Main arterial","Not intersection","Beside road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360006",2015,"Jan","Mon",0,"36029","0040",43.01798056,-78.47163889,1,2,"2","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Foggy or cloudy"
"360007",2015,"Jan","Tue",14,"36075","5174",43.50803889,-76.15532778,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Daylight","Foggy or cloudy"
"360008",2015,"Jan","Mon",18,"36059","2600",40.70445278,-73.62400833,1,1,"1","1",1,"Local road","Not intersection","On road","Non-vehicle collision","Dark","Clear"
"360009",2015,"Jan","Sat",13,"36027","5031",41.62961944,-73.69935278,2,2,"2","0",1,"Main arterial","3-way intersection","On road","Front collision","Daylight","Precipitation"
"360010",2015,"Jan","Tue",6,"36055","5230",43.18153333,-77.59923333,2,11,"11","0",1,"Local road","Not intersection","On road","Rear or side collision","Dawn or dusk","Foggy or cloudy"
