"ST_CASE","VEH_NO","MAKE","MODEL","MOD_YEAR","VIN","NUMOCCS","TRAV_SP","DEFORMED","TOWED","DEATHS","SPEEDREL","OWNER","BODY_TYP"
"360001","1","7","24",2011,"2B3CL1CT5BH6",3,NA,NA,"yes",0,"yes","other","4-door sedan"
"360001","2","14","6",2004,"2MEFM74WX4X6",2,0,NA,"yes",1,"no","other","4-door sedan"
"360002","1","12","17",2001,"1FAFP58U11A2",1,NA,"disabling","yes",1,"no","driver","other car"
"360002","2","48","45",2013,"4S4BRBKC9D33",2,NA,NA,"yes",0,"no","driver","other car"
"360003","1","7","442",2007,"2D4GP44LX7R2",3,50,"disabling","yes",1,"yes","other","van or bus"
"360004","1","55","33",2007,"5NPET46C07H2",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360005","1","41","51",2007,"JM1BK32F6717",1,NA,"disabling","yes",1,"no","other","4-door sedan"
"360006","1","12","481",1999,"1FTSF31F7XED",2,NA,NA,"no",0,"no","driver","pickup"
"360007","1","49","402",2010,"2T3BF4DVXAW0",1,NA,NA,"no",0,"no","driver","utility vehicle"
"360008","1","37","32",2011,"5J6TF2H50BL0",1,NA,NA,"yes",0,"no","driver","other car"
"360009","1","20","402",2000,"2CNBJ13C7Y69",1,NA,"disabling","yes",1,"yes","driver","utility vehicle"
"360009","2","19","421",2009,"1GYFK232X9R2",1,NA,"disabling","yes",0,"yes","driver","utility vehicle"
"360010","1","12","870",2011,"1FDEE3FL9BDA",10,NA,NA,"yes",1,"no","other","van or bus"
"360010","2","84","981",2006,"4DRBUAFN76A1",1,0,NA,"no",0,"no","other","van or bus"
"360011","1","14","6",1991,"2MECM75F0MX6",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360012","1","55","35",2002,"KMHDN45D82U3",1,NA,"disabling","yes",1,"no","driver","4-door sedan"
"360013","1","7","402",2002,"1B4HS58N92F1",1,40,NA,"no",0,"no","driver","utility vehicle"
"360014","1","51","49",2011,"YV1672MK6B22",1,NA,NA,"yes",0,"no","other","other car"
"360014","2","7","442",2005,"2D4GP44L65R2",2,NA,NA,"yes",1,"no","driver","van or bus"
"360015","1","35","47",2006,"1N4AL11D06N3",1,60,"disabling","yes",1,"no","driver","4-door sedan"
"360016","1","55","35",2000,"KMHJF35F3YU9",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360016","2","49","40",1995,"4T1GK12E6SU0",1,NA,NA,"yes",0,"no","other","4-door sedan"
"360017","1","63","34",2010,"KNAGG4A85A53",2,NA,"disabling","yes",2,"yes","driver","4-door sedan"
"360018","1","42","43",2004,"WDBNG83J64A4",1,100,NA,"yes",0,"yes","driver","4-door sedan"
"360018","2","49","43",2005,"4T1BK36B45U0",2,0,NA,"yes",2,"no","other","4-door sedan"
"360018","3","49","40",2007,"4T1BE46K47U5",2,30,NA,"no",0,"no","driver","4-door sedan"
"360019","1","30","36",2007,"WVWCR71K47W2",1,NA,NA,"yes",1,"no","other",NA
"360020","1","22","18",2003,"1G2NF52F43C1",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360020","2","84","881",2000,"1HTSCAAN0YH2",1,45,NA,"no",0,"no","other","truck"
"360021","1","12","402",2011,"1FMCU9D70BKA",2,NA,NA,"yes",1,"no","other","utility vehicle"
"360021","2","20","404",2015,"2GNFLGEK2F61",2,35,NA,"no",0,"no","driver","utility vehicle"
"360022","1","34","34",2002,"999999999999",2,NA,"disabling","yes",1,"yes","other","other car"
"360022","2","42","401",2012,"4JGDA5HB0CA0",2,NA,"disabling","yes",0,"no","driver","utility vehicle"
"360023","1","23","471",2004,"1GTDT13X64K1",2,NA,"disabling","yes",1,"yes","driver","pickup"
"360024","1","20","23",2009,"3GNCA23B19S6",1,NA,NA,"yes",1,"yes","driver","other car"
"360025","1","35","47",2010,"1N4AL2EP9AC1",3,NA,NA,"yes",1,"yes","driver","other car"
"360026","1","20","2",2012,"2G1WF5E38C11",1,NA,NA,"yes",1,"no","driver","4-door sedan"
"360027","1","12","481",2005,"1FTPX14545NB",1,55,NA,"yes",0,"no","driver","pickup"
"360028","1","35","48",2005,"JN1AZ34D65M6",2,86,NA,"yes",1,"yes","driver","other car"
"360028","2","63","33",2006,"KNAFE1620653",2,NA,NA,"yes",0,"no","other","4-door sedan"
"360029","1","49","40",2005,"4T1BE32K65U3",1,NA,NA,"yes",1,"yes","other","4-door sedan"
"360029","2","12","471",2011,"1FTKR1AD7BPA",2,NA,NA,"yes",0,"no","driver","pickup"
"360029","3","20","461",2008,"1GCHG35C3812",1,NA,NA,"yes",0,"no","other","van or bus"
"360030","1","35","402",2011,"5N1AN0NW9BC5",1,NA,NA,"no",0,"no","driver","utility vehicle"
"360031","1","37","421",2005,"5FNYF18635B0",1,NA,NA,"yes",1,"yes","driver","utility vehicle"
"360031","2","48","401",2013,"999999999999",2,0,NA,"yes",0,"no","driver","utility vehicle"
"360032","1","53","41",2013,"JS2RF9A69D61",1,NA,"disabling","yes",1,"yes","driver","4-door sedan"
"360033","1","12","401",2003,"1FMZU70E83UA",1,NA,"disabling","yes",1,"yes","driver","utility vehicle"
"360034","1","63","37",2011,"KNDJT2A16B77",1,NA,"disabling","yes",1,"yes","driver","other car"
"360035","1","20","37",2002,"1G1ND52J92M6",1,NA,"disabling","yes",1,"no","other","4-door sedan"
"360035","2","20","481",2011,"1GCRKSE34BZ4",1,NA,NA,"yes",0,"no","driver","pickup"
"360036","1","35","47",2006,"1N4AL11E26N3",4,NA,NA,"yes",1,"yes","other","4-door sedan"
"360037","1","42","42",2007,"WDBRF92H57F8",1,NA,NA,"yes",0,"no","driver","4-door sedan"
"360038","1","93","981",2009,"1M86DMEA99P0",1,NA,"disabling","yes",1,"yes","other","van or bus"
"360039","1","41","45",1992,"JM1NA3512N03",1,NA,"disabling","yes",1,"yes","driver","other car"
"360040","1","48","401",2011,"JF2SHADC3BH7",3,NA,NA,"no",0,"no","other","utility vehicle"
"360041","1","37","32",2005,"1HGCM56725A1",1,NA,NA,"yes",1,"yes","other","4-door sedan"
"360042","1","12","481",2006,"1FTSW21P76EB",2,58,"disabling","yes",2,"yes","other","pickup"
"360043","1","48","34",2013,"4S4BRBCC6D32",1,NA,NA,"no",0,"no","driver","other car"
"360044","1","20","404",2013,"2GNFLEEK5D61",1,NA,NA,"yes",1,"no","driver","utility vehicle"
"360044","2","58","40",2010,"JN1AJ0HR7AM7",1,0,NA,"yes",0,"no","other","other car"
"360044","3","20","481",1997,"1GBHC34J5VF0",1,0,NA,"yes",0,"no","other","truck"
"360045","1","12","481",2008,"1FDXF46R28EC",2,NA,NA,"no",0,"no","other","truck"
"360046","1","2","404",2000,"1J4FF48S0YL1",1,NA,"disabling","yes",1,"no","driver","utility vehicle"
"360046","2","7","442",2014,"2C4RDGCG8ER3",4,NA,"disabling","yes",0,"no","other","van or bus"
"360047","1","37","402",1997,"JHLRD1848VC0",2,NA,NA,"yes",1,"no","other","utility vehicle"
"360048","1","55","33",2009,"5NPET46C59H5",1,NA,NA,"no",0,"no","other","4-door sedan"
"360049","1","6","54",2004,"2C8GM68494R3",1,NA,NA,"yes",1,"yes","other","other car"
"360049","2","20","481",2009,"2GCEC2906911",1,NA,NA,"yes",1,"no","other","pickup"
"360050","1","92","981",2011,"15GGD2714B11",8,NA,"none","no",0,"no","other","van or bus"
"360051","1","24","401",2007,"5GZCZ23D27S8",2,20,"disabling","yes",1,"no","driver","utility vehicle"
